country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,SE.TER.ENRR,n_indicators_present,is_included,inclusion_rule
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,-0.012287180848681469,-0.967505583488027,-0.2538976523747606,-0.39552147308028696,,0.20694215901094754,0.24867086949331518,6,True,>= 6/7 indicators non-missing after min-year rule
AND,Andorra,Europe & Central Asia,High income,Not classified,0.9133113994589165,-0.0836013535301476,1.9519541484960674,0.5774909472330522,,0.1852656710162126,-1.2168012535893442,6,True,>= 6/7 indicators non-missing after min-year rule
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,1.2199059885081354,2.8389040434983657,0.9476846146374529,-0.14563333207820936,0.6962162512632348,0.37981035820736475,0.08619581277567985,7,True,>= 6/7 indicators non-missing after min-year rule
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,0.46890526267509597,0.26393558440427073,0.04858508747632505,0.13295698384342097,,0.8455774059224553,1.6645091925069733,6,True,>= 6/7 indicators non-missing after min-year rule
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,-0.02360084678082592,0.1546191347569866,-0.41407080894981346,-0.5787675058193565,,-0.2024036885833683,0.07372191884265174,6,True,>= 6/7 indicators non-missing after min-year rule
AUS,Australia,East Asia & Pacific,High income,Not classified,0.9793002498670972,-0.4516181722297516,0.9910438632947103,1.045733205427273,,1.9215513906744168,1.9656962954619503,6,True,>= 6/7 indicators non-missing after min-year rule
AUT,Austria,Europe & Central Asia,High income,Not classified,0.7564720414760974,0.0363440757125929,0.5609333417181593,0.9424001493906716,,0.3711851463156931,1.3030612301859308,6,True,>= 6/7 indicators non-missing after min-year rule
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,0.47663772698353096,-0.5600637451069586,-0.0819906749430301,-0.7388622803070896,,0.21845458697102668,-0.6324874695262356,6,True,>= 6/7 indicators non-missing after min-year rule
BEL,Belgium,Europe & Central Asia,High income,Not classified,0.835858040584083,-0.7080406988449256,1.4239847783483612,0.831771570507801,,2.164182056875683,0.9805711426138165,6,True,>= 6/7 indicators non-missing after min-year rule
BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA,-2.3752026507015254,-1.1345433171560055,-1.4259034419220757,-2.0296748885987257,-2.653928846205156,-2.1264786824549233,-1.5313744051820097,7,True,>= 6/7 indicators non-missing after min-year rule
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,-2.9851136446083517,-0.5436891203292449,-1.4345330418748448,-2.1544068522517477,-3.170863986536133,-2.3777465038222023,-1.6211050848785793,7,True,>= 6/7 indicators non-missing after min-year rule
BGD,Bangladesh,South Asia,Lower middle income,IDA,-1.8726705090622981,-0.5522265680096773,-1.0284523962967702,-1.0320861194813133,-0.7976905878778331,-1.163904567765204,-1.1031810892119445,7,True,>= 6/7 indicators non-missing after min-year rule
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,-0.115409228241795,-0.145412189203115,0.6944321840090264,1.1174727233660922,,0.3342758060683393,1.113813647536667,6,True,>= 6/7 indicators non-missing after min-year rule
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,1.221142583234098,0.3814325650229399,-0.5729041629429642,-0.09925052928687449,,0.3944268122251363,-0.0819964891833071,6,True,>= 6/7 indicators non-missing after min-year rule
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,-0.01538587669954496,-0.34190911420251413,0.20301998787199793,0.07669090485734614,,-0.30735437086242684,-0.2565736457539877,6,True,>= 6/7 indicators non-missing after min-year rule
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,0.5137792512377183,0.17008076659295432,0.9366452500493496,0.3822360004973716,,0.3226081807703915,0.9620975863080602,6,True,>= 6/7 indicators non-missing after min-year rule
