country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,SE.TER.ENRR,n_indicators_present,is_included,inclusion_rule
AFE,,,,,-2.0471025943468644,-1.640335361359186,-1.2874025953858976,-0.221716276602934,-0.8603850884024251,-1.802252426800524,-1.4674091024389935,7,True,>= 6/7 indicators non-missing after min-year rule
AFW,,,,,-1.6839581403337174,-0.7782818047428784,-1.3051929075412512,-1.5137077671497263,-1.745966922802969,-1.8042610308077733,-1.4255382904089735,7,True,>= 6/7 indicators non-missing after min-year rule
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,0.16005694220591543,-0.8227101554177682,-0.11867368605808266,-0.3417578815722942,,0.3964805536922389,0.39012407796986426,6,True,>= 6/7 indicators non-missing after min-year rule
AND,Andorra,Europe & Central Asia,High income,Not classified,1.0131712000246202,0.08420387727564103,2.132703024567749,0.6696497648723626,,0.3758169981449208,-1.0863593608479059,6,True,>= 6/7 indicators non-missing after min-year rule
ARB,,,,,,-0.6433439627524447,-0.6890547761368038,-1.0513090085193826,-0.5052452084290086,-0.8401544452195356,-0.6137104670469972,6,True,>= 6/7 indicators non-missing after min-year rule
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,1.2957561357113547,3.0827879606595205,1.1077071300893668,-0.08200911445588638,0.9794586745305522,0.5612707003860966,0.22642821048386402,7,True,>= 6/7 indicators non-missing after min-year rule
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,0.6035668427811018,0.4407878998535643,0.19005176666642928,0.2075744200048882,,1.0052726653219677,1.8166007765343164,6,True,>= 6/7 indicators non-missing after min-year rule
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,0.14962925798053273,0.3286257234217706,-0.28215253547042163,-0.5322348321473537,,0.006263251798884737,0.21386058976997163,6,True,>= 6/7 indicators non-missing after min-year rule
AUS,Australia,East Asia & Pacific,High income,Not classified,1.0739924138185915,-0.29339315850476444,1.151961237540577,1.156368937659119,,2.0309668740328846,2.1200509496860875,6,True,>= 6/7 indicators non-missing after min-year rule
AUT,Austria,Europe & Central Asia,High income,Not classified,0.8686140503822674,0.20727172699377105,0.7129739896709362,1.048958342661517,,0.5530485407320864,1.452436953862033,6,True,>= 6/7 indicators non-missing after min-year rule
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,0.6106937719812394,-0.4046617874946964,0.056781149679788534,-0.6986469721080982,,0.40745501111797017,-0.4976551394210609,6,True,>= 6/7 indicators non-missing after min-year rule
