country_iso3,country_name,dii_baseline_0_100_mean_2015_2022,dii_strict_0_100_mean_2015_2022,rank_baseline,rank_strict,rank_change_strict_minus_baseline
IRN,"Iran, Islamic Rep.",59.51882115212889,50.29172255814518,95.0,96.0,1.0
IRQ,Iraq,39.72678084365297,,135.0,,
ISL,Iceland,89.98683632603851,88.48406323613935,14.0,13.0,-1.0
ISR,Israel,75.61466066078333,74.04921122709247,50.0,45.0,-5.0
ITA,Italy,75.55211510598696,73.98639291424008,52.0,47.0,-5.0
JAM,Jamaica,51.14177633480038,39.99518476665754,112.0,114.0,2.0
JOR,Jordan,43.76113458018062,41.93435263951383,128.0,110.0,-18.0
JPN,Japan,82.31415420303446,80.77792092772243,32.0,29.0,-3.0
KAZ,Kazakhstan,65.29850101470909,63.68806332150575,76.0,68.0,-8.0
KEN,Kenya,26.411441345344667,18.964852602545662,164.0,132.0,-32.0
KGZ,Kyrgyz Republic,50.41310471005861,47.8037320801515,115.0,99.0,-16.0
KHM,Cambodia,30.85848434166597,31.375825865884714,152.0,120.0,-32.0
KIR,Kiribati,14.984055623523876,,185.0,,
KNA,St. Kitts and Nevis,85.9436084386077,82.1749031157595,26.0,25.0,-1.0
KOR,"Korea, Rep.",87.38611380622116,85.87199909466669,20.0,18.0,-2.0
KWT,Kuwait,70.21382066325863,67.11508681247841,68.0,61.0,-7.0
LAO,Lao PDR,22.344862536124566,20.54710616027415,169.0,131.0,-38.0
LBN,Lebanon,43.86869745544069,44.78406903586851,127.0,103.0,-24.0
LBR,Liberia,10.032876138858242,,194.0,,
LBY,Libya,71.5308627098748,,63.0,,
LCA,St. Lucia,46.90922484480705,44.73607226490668,122.0,104.0,-18.0
LIE,Liechtenstein,87.05429879522308,83.68324009413391,21.0,23.0,2.0
LKA,Sri Lanka,43.497707680627826,40.58430120737295,129.0,113.0,-16.0
LSO,Lesotho,28.042422752761183,21.7556843899253,159.0,130.0,-29.0
LTU,Lithuania,80.73531939072093,79.19220089525909,37.0,34.0,-3.0
LUX,Luxembourg,78.66856920038762,77.11643771006142,41.0,38.0,-3.0
LVA,Latvia,81.4191286957522,79.87899225868489,35.0,32.0,-3.0
MAC,"Macao SAR, China",96.29796182436141,95.36987605688896,5.0,5.0,0.0
MAF,St. Martin (French part),,,,,
MAR,Morocco,50.79674579654147,52.14416211702193,113.0,93.0,-20.0
MCO,Monaco,91.23174848578473,88.72427757695114,10.0,12.0,2.0
MDA,Moldova,64.98698206535013,63.375185853490876,77.0,69.0,-8.0
MDG,Madagascar,5.645515668771996,1.318840179685054,200.0,148.0,-52.0
MDV,Maldives,61.8380593679321,56.556810157166716,90.0,84.0,-6.0
MEX,Mexico,53.97630224252733,52.31648900318183,106.0,91.0,-15.0
MHL,Marshall Islands,31.85438503428957,29.800619450081978,150.0,122.0,-28.0
MKD,North Macedonia,59.64696145067087,57.92336183794465,94.0,80.0,-14.0
MLI,Mali,25.543328930590707,12.052942037963724,166.0,139.0,-27.0
MLT,Malta,79.69516826641103,78.14751372359069,39.0,36.0,-3.0
MMR,Myanmar,31.566619862030493,28.071908369266446,151.0,124.0,-27.0
MNE,Montenegro,73.03316071310118,71.45645348643674,58.0,53.0,-5.0
MNG,Mongolia,55.46822224871682,62.67212099819692,102.0,70.0,-32.0
MNP,Northern Mariana Islands,,,,,
MOZ,Mozambique,11.253063523972893,4.08717200512325,191.0,146.0,-45.0
MRT,Mauritania,18.935554337469917,12.155205576930458,176.0,138.0,-38.0
MUS,Mauritius,64.97159258163808,58.75516989530549,78.0,77.0,-1.0
MWI,Malawi,7.2446510800136465,4.684409041570214,198.0,145.0,-53.0
MYS,Malaysia,60.360784004869984,58.72881317318693,91.0,78.0,-13.0
NAM,Namibia,38.40543993732721,36.67772294132688,137.0,116.0,-21.0
NCL,New Caledonia,59.32078384893048,,96.0,,
NER,Niger,3.8058892501705044,0.0,203.0,149.0,-54.0
NGA,Nigeria,27.936975286939727,,160.0,,
NIC,Nicaragua,36.72813653415217,,140.0,,
NLD,Netherlands,94.53828015295679,92.16220672031362,7.0,6.0,-1.0
NOR,Norway,91.10184282593127,89.60393222396331,12.0,11.0,-1.0
NPL,Nepal,36.5531778657846,33.852530691788004,141.0,117.0,-24.0
NRU,Nauru,,,,,
NZL,New Zealand,86.05334646920728,84.53341962553345,25.0,22.0,-3.0
OMN,Oman,62.49133245087104,60.17735060401207,87.0,76.0,-11.0
PAK,Pakistan,14.883952140136177,11.78265836109759,186.0,140.0,-46.0
PAN,Panama,63.29529670322576,50.588547303810664,84.0,94.0,10.0
PER,Peru,54.12149150211472,53.9873147737679,105.0,89.0,-16.0
PHL,Philippines,44.800009255870776,43.100178658864145,125.0,108.0,-17.0
PLW,Palau,53.26242817079876,,109.0,,
PNG,Papua New Guinea,14.621277340780807,,187.0,,
POL,Poland,77.47298284104397,75.91563745802425,48.0,44.0,-4.0
PRI,Puerto Rico (US),64.42217456135101,63.968072893301326,80.0,67.0,-13.0
PRK,"Korea, Dem. People's Rep.",,,,,
PRT,Portugal,81.30787423529463,79.76725262305452,36.0,33.0,-3.0
PRY,Paraguay,52.73571001626653,,111.0,,
PSE,West Bank and Gaza,48.73251763448787,47.04983651107818,119.0,100.0,-19.0
PYF,French Polynesia,57.150886650556934,,100.0,,
QAT,Qatar,62.559653373589825,60.93727170194188,86.0,73.0,-13.0
ROU,Romania,67.54503953266465,65.94439888228713,73.0,63.0,-10.0
RUS,Russian Federation,77.77848405464322,76.22247094723286,46.0,42.0,-4.0
RWA,Rwanda,17.388770749312766,12.409909216119063,180.0,137.0,-43.0
SAU,Saudi Arabia,75.30049926369017,73.73367978776014,53.0,48.0,-5.0
SDN,Sudan,14.130467997635991,,188.0,,
SEN,Senegal,26.885815571741002,24.724774797653314,163.0,127.0,-36.0
SGP,Singapore,90.06498902998374,89.93021368363472,13.0,10.0,-3.0
SLB,Solomon Islands,22.13451928564481,,171.0,,
SLE,Sierra Leone,20.388231076062137,,174.0,,
SLV,El Salvador,45.28067397326192,43.58293953119922,123.0,106.0,-17.0
SMR,San Marino,69.25600250300037,67.4589195283997,69.0,60.0,-9.0
SOM,"Somalia, Fed. Rep.",8.158713492658674,,195.0,,
SRB,Serbia,70.30845009782043,68.71986054357848,67.0,59.0,-8.0
SSD,South Sudan,0.2959404352589937,,205.0,,
STP,Sao Tome and Principe,30.650715403366206,24.671316038373135,153.0,128.0,-25.0
SUR,Suriname,54.500697974223684,54.968096258392926,104.0,86.0,-18.0
SVK,Slovak Republic,73.2917007788202,71.71612103253317,57.0,51.0,-6.0
SVN,Slovenia,82.5742897485056,81.03919091137885,30.0,28.0,-2.0
SWE,Sweden,93.41647341277945,91.92865679976562,8.0,7.0,-1.0
SWZ,Eswatini,34.841624205952954,,144.0,,
SXM,Sint Maarten (Dutch part),,,,,
SYC,Seychelles,71.67866293499421,70.0960488108368,61.0,56.0,-5.0
SYR,Syrian Arab Republic,26.120803246258482,,165.0,,
TCA,Turks and Caicos Islands,,,,,
TCD,Chad,4.36622543632601,0.0,202.0,149.0,-53.0
TGO,Togo,18.80693911398604,13.143839649574145,177.0,136.0,-41.0
THA,Thailand,63.79935981812497,62.182384444669324,82.0,71.0,-11.0
TJK,Tajikistan,33.57056929778334,41.104096547949815,146.0,112.0,-34.0
TKM,Turkmenistan,29.909299511080246,,155.0,,
TLS,Timor-Leste,32.1916636321317,,148.0,,
TON,Tonga,38.146613879258155,,139.0,,
TTO,Trinidad and Tobago,68.82917177056112,,70.0,,
TUN,Tunisia,53.64239712829162,41.72754121433826,107.0,111.0,4.0
TUR,Turkiye,75.57686777654389,74.01125352996313,51.0,46.0,-5.0
TUV,Tuvalu,50.52432618703044,,114.0,,
TZA,Tanzania,12.379172196133386,8.323898455749324,190.0,144.0,-46.0
UGA,Uganda,13.660491123021075,,189.0,,
UKR,Ukraine,67.62092753256938,65.22988144041717,72.0,65.0,-7.0
URY,Uruguay,77.95506340007185,76.39982034641108,45.0,41.0,-4.0
USA,United States,83.40884757851966,81.87738820661282,28.0,26.0,-2.0
UZB,Uzbekistan,44.86252216832902,43.16296418702679,124.0,107.0,-17.0
VCT,St. Vincent and the Grenadines,54.526556915136595,48.810171211519794,103.0,97.0,-6.0
VEN,"Venezuela, RB",43.09709100118593,,131.0,,
VGB,British Virgin Islands,66.69649647277944,65.3199998814337,75.0,64.0,-11.0
VIR,Virgin Islands (U.S.),,,,,
VNM,Viet Nam,60.147401144718174,55.37271936683803,92.0,85.0,-7.0
VUT,Vanuatu,35.42688595836807,,143.0,,
WSM,Samoa,30.27529984384139,,154.0,,
XKX,Kosovo,,,,,
YEM,"Yemen, Rep.",10.768256723537835,,193.0,,
ZAF,South Africa,59.942263007219644,58.308467026265966,93.0,79.0,-14.0
ZMB,Zambia,22.92833123307633,,168.0,,
ZWE,Zimbabwe,27.8951837317082,,161.0,,
