country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,n_indicators_present,is_included,inclusion_rule
AFE,,,,,-1.8143086851698211,-1.4854297901567595,-1.1920652695053064,-0.09714214951149741,-0.8246611780711328,-1.726363611135406,6,True,>= 5/6 indicators non-missing after min-year rule
AFW,,,,,-1.4724083847018588,-0.6604818367830144,-1.2097263818778248,-1.3302793948860732,-1.700611756187244,-1.7283286263003739,6,True,>= 5/6 indicators non-missing after min-year rule
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,0.2637307847674078,-0.7029978460027693,-0.03182409889504057,-0.21171548468076543,,0.4246545262325973,5,True,>= 5/6 indicators non-missing after min-year rule
AND,Andorra,Europe & Central Asia,High income,Not classified,1.066937381641825,0.1648796419029568,2.2032022869274477,0.7536193864952895,,0.4044393918078473,5,True,>= 5/6 indicators non-missing after min-year rule
ARB,,,,,,-0.5313521606412986,-0.5980628719459374,-0.888944343026926,-0.4733836663938793,-0.7851441785501654,5,True,>= 5/6 indicators non-missing after min-year rule
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,1.3329909406355045,3.034394863574538,1.1856502892068657,0.03620091532262046,0.9951731333173498,0.5858685515566644,6,True,>= 5/6 indicators non-missing after min-year rule
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,0.6812951082519755,0.5061151224293303,0.2746592761694862,0.3125930158926204,,1.0202352018399794,5,True,>= 5/6 indicators non-missing after min-year rule
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,0.2539131258979313,0.3987807727439818,-0.19411570484263496,-0.3935156156089275,,0.042905354625911975,5,True,>= 5/6 indicators non-missing after min-year rule
AUS,Australia,East Asia & Pacific,High income,Not classified,1.1242005204318561,-0.19646438304337635,1.2295830070712983,1.2181669817331204,,2.023670755818002,5,True,>= 5/6 indicators non-missing after min-year rule
AUT,Austria,Europe & Central Asia,High income,Not classified,0.9308369060560864,0.2826502490443257,0.7937838458747221,1.1156492746053965,,0.5778248215080308,5,True,>= 5/6 indicators non-missing after min-year rule
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,0.6880051081101938,-0.30294364648988426,0.14235651936554578,-0.5523471631613289,,0.4353908262653691,5,True,>= 5/6 indicators non-missing after min-year rule
BDI,Burundi,Sub-Saharan Africa ,Low income,IDA,-2.3827121678142382,-2.048306427352184,-1.230485064134279,-1.9951754146766307,,-1.7344638007056405,5,True,>= 5/6 indicators non-missing after min-year rule
BEL,Belgium,Europe & Central Asia,High income,Not classified,0.9997256873696991,-0.4482375171665395,1.668249996515031,1.0058936099141944,,2.135264099397125,5,True,>= 5/6 indicators non-missing after min-year rule
BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA,-1.7867361602139662,-0.8670068910642903,-1.2193308311881408,-1.8329746216847904,-2.5837483074018075,-1.7514551826465903,6,True,>= 5/6 indicators non-missing after min-year rule
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,-2.3159985685998947,-0.2868659225285924,-1.228074566186982,-1.9567223884663816,-2.8355028903875965,-1.9857833997815508,6,True,>= 5/6 indicators non-missing after min-year rule
BGD,Bangladesh,South Asia,Lower middle income,IDA,-1.35065388881299,-0.29524857123067333,-0.8166231000093707,-0.843257321249387,-0.6007503450654842,-0.8537744731624825,6,True,>= 5/6 indicators non-missing after min-year rule
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,0.17424457496594148,0.10418954565603093,0.9290483431900226,1.2893404394012156,,0.5434037808482006,5,True,>= 5/6 indicators non-missing after min-year rule
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,1.3335017842800947,0.6214816756369077,-0.35504978798604,0.08221773486428544,,0.5994996149860445,5,True,>= 5/6 indicators non-missing after min-year rule
BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified,0.9829767018774505,-0.2869850738897418,0.23027802211781545,0.17082028127929727,,-0.3998755115284311,5,True,>= 5/6 indicators non-missing after min-year rule
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,0.261041829747302,-0.0887445436601893,0.43113673179000056,0.25677090409253356,,-0.05496991699353655,5,True,>= 5/6 indicators non-missing after min-year rule
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,0.7202354052753216,0.4139620579352093,1.1744649180376037,0.5599050978401895,,0.5325227463433068,5,True,>= 5/6 indicators non-missing after min-year rule
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Blend,-0.1398395759359291,-1.6469548797834834,-0.6408103706974699,1.7270046277562783,,-0.0005326639947743391,5,True,>= 5/6 indicators non-missing after min-year rule
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,-0.4224309102724734,-0.45872774318025644,-0.6845270903542352,-0.7977424261039815,,0.08856149808474847,5,True,>= 5/6 indicators non-missing after min-year rule
BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,0.4188379027207674,-0.44606335527073215,0.01791435924296093,0.25291938533377495,0.7192416457170643,0.7240315266427599,6,True,>= 5/6 indicators non-missing after min-year rule
BRB,Barbados,Latin America & Caribbean ,High income,IBRD,0.36093617840576764,-0.0096560754709851,1.4175855482767583,-0.2112430468568971,,0.7292437579842579,5,True,>= 5/6 indicators non-missing after min-year rule
BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,1.2116303733536962,0.4304680259062814,-0.15607843448921954,0.7699003829035521,,0.05948995162102894,5,True,>= 5/6 indicators non-missing after min-year rule
BTN,Bhutan,South Asia,Lower middle income,IDA,0.4151240726453944,-0.6108538930833248,-1.1769341395136628,-0.3681887401437834,,0.11500724613185904,5,True,>= 5/6 indicators non-missing after min-year rule
CAN,Canada,North America,High income,Not classified,1.0785477460118824,-0.8684535287667227,1.6193805772398042,1.1981810110696225,,0.9059234551277088,5,True,>= 5/6 indicators non-missing after min-year rule
CEB,,,,,,0.30825377623149225,0.69884153674629,1.1356261672923118,1.0942221973411845,0.5581013624421356,5,True,>= 5/6 indicators non-missing after min-year rule
CHE,Switzerland,Europe & Central Asia,High income,Not classified,1.1159437107601684,0.426325763880421,2.0418371885416176,1.612976103757824,,0.6730679393740823,5,True,>= 5/6 indicators non-missing after min-year rule
CHL,Chile,Latin America & Caribbean ,High income,IBRD,0.8667793246403906,0.6835665436996491,0.1592411034639075,0.7242117578207609,,0.7098203163069885,5,True,>= 5/6 indicators non-missing after min-year rule
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Blend,-1.2550778896017394,0.9712750274552895,-1.1669005812397177,-1.3696033506980603,,-1.3324203324597739,5,True,>= 5/6 indicators non-missing after min-year rule
COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,0.07071319992278802,0.9360763135908633,-0.16227103722428196,-0.36917577166282156,0.8037181700727982,0.5837408780931904,6,True,>= 5/6 indicators non-missing after min-year rule
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,Blend,-0.019254478176197458,0.00509065769722526,-0.8922149036446864,-0.42563910239745795,,0.3694923777294424,5,True,>= 5/6 indicators non-missing after min-year rule
CRI,Costa Rica,Latin America & Caribbean ,High income,IBRD,0.5315857206461003,1.4668045117673008,0.1316070693032566,-0.04192435210083026,,1.8283184009477833,5,True,>= 5/6 indicators non-missing after min-year rule
CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified,0.012151624544807898,-1.9158570734074971,-1.0904519052857065,-1.1821249937985576,,0.5575018670420182,5,True,>= 5/6 indicators non-missing after min-year rule
CYP,Cyprus,Europe & Central Asia,High income,Not classified,0.8710093085510112,1.0185711089282372,1.3634065818850944,1.1029791871302577,,0.5886961015318509,5,True,>= 5/6 indicators non-missing after min-year rule
